GEN,Ambiente,local_estado,Year_Date,GY_media,GY_mediana,GY_sd,n_rep,CV
BRS SERTANEJA,GO-GOIA-2015,GO-GOIA,2015,2364,2575,683.3834940939091,3,28.91
BRS SERTANEJA,GO-POR-2013,GO-POR,2013,2283.25,2369,292.6321638735792,4,12.82
BRS SERTANEJA,GO-SAG-2014,GO-SAG,2014,4261,4203,173.6049154450031,4,4.07
BRS SERTANEJA,GO-SAG-2015,GO-SAG,2015,4380.25,4524,829.575945890429,4,18.94
BRS SERTANEJA,GO-SCAN-2014,GO-SCAN,2014,3429,3433,957.843411002028,4,27.93
BRS SERTANEJA,MA-BURC-2015,MA-BURC,2015,4929.5,5082.5,1574.5341109886017,4,31.94
BRS SERTANEJA,MA-MATI-2016,MA-MATI,2016,3612.5,3587.5,563.6562191028618,4,15.6
BRS SERTANEJA,MA-MATO-2015,MA-MATO,2015,3848.25,3719,518.6349872501854,4,13.48
BRS SERTANEJA,MA-MRO-2014,MA-MRO,2014,3893.75,3950,544.0492471581349,4,13.97
BRS SERTANEJA,MA-SINES-2015,MA-SINES,2015,3175.5,3633,1064.154594032277,4,33.51
BRS SERTANEJA,MA-SRM-2013,MA-SRM,2013,4424.75,4040.5,1014.9030741898459,4,22.94
BRS SERTANEJA,MA-SRM-2014,MA-SRM,2014,4966,4955,163.7925517232087,4,3.3
BRS SERTANEJA,MT-CAC-2013,MT-CAC,2013,4311,4563,722.4421545471074,4,16.76
BRS SERTANEJA,MT-CAC-2015,MT-CAC,2015,4579.75,4659.5,388.45881377566917,4,8.48
BRS SERTANEJA,MT-SCAR-2013,MT-SCAR,2013,4495.75,4259,856.7023500998854,4,19.06
BRS SERTANEJA,MT-SIN-2014,MT-SIN,2014,3685.75,3652.5,256.5,4,6.96
BRS SERTANEJA,MT-SIN-2015,MT-SIN,2015,4349.5,4360,642.331949488217,4,14.77
BRS SERTANEJA,MT-SJQM-2013,MT-SJQM,2013,3667.25,3570,624.6579730807358,4,17.03
BRS SERTANEJA,MT-TAN-2013,MT-TAN,2013,5910.5,5941.5,299.38882187995375,4,5.07
BRS SERTANEJA,MT-TAN-2015,MT-TAN,2015,4616.75,5023.5,1334.68407622678,4,28.91
BRS SERTANEJA,MT-UNS-2013,MT-UNS,2013,6324,6786,2127.3948074268365,4,33.64
BRS SERTANEJA,MT-UNS-2014,MT-UNS,2014,3603.5,3838,676.5803721657908,4,18.78
BRS SERTANEJA,PA-ALT-2013,PA-ALT,2013,5653.25,6091.5,980.4592036387847,4,17.34
BRS SERTANEJA,PA-ALT-2016,PA-ALT,2016,3080,2886,516.8526546963523,4,16.78
BRS SERTANEJA,PA-BEL-2013,PA-BEL,2013,2956.5,2926.5,388.4537724534714,4,13.14
BRS SERTANEJA,PA-MOJ-2013,PA-MOJ,2013,4454.75,4711,1202.562645630849,4,27
BRS SERTANEJA,PA-PGM-2013,PA-PGM,2013,4134.25,3921,727.1333554903575,4,17.59
BRS SERTANEJA,PA-PGM-2016,PA-PGM,2016,4336,3844.5,1764.2839907452542,4,40.69
BRS SERTANEJA,PA-TALT-2016,PA-TALT,2016,3075,3016.5,214.38128027729786,4,6.97
BRS SERTANEJA,PI-TER-2013,PI-TER,2013,4541.5,4166.5,875.1931215451822,4,19.27
BRS SERTANEJA,PI-TER-2014,PI-TER,2014,5403.75,5683,1222.108117148397,4,22.62
BRS SERTANEJA,PI-TER-2015,PI-TER,2015,4366.25,4349.5,47.14074670600796,4,1.08
BRS SERTANEJA,PI-TER-2016,PI-TER,2016,2733,2733,26.94438717061496,4,0.99
BRS SERTANEJA,RO-OPO-2013,RO-OPO,2013,3334,3339,126.26955294131677,4,3.79
BRS SERTANEJA,RO-OPO-2015,RO-OPO,2015,4086.25,4177.5,525.765711446965,4,12.87
BRS SERTANEJA,RO-VIL-2013,RO-VIL,2013,4003.25,4249.5,745.822755977138,4,18.63
BRS SERTANEJA,SP-PIRA-2013,SP-PIRA,2013,5125,4987.5,357.6543955645823,4,6.98
